waveno,SA,mel,pre2,MF2,MFC2,pre4,MF4,MFC4,pre6,MF6,MFC6
3892.30746,0.99824,0.99775,0.99548,0.99598,0.99761,0.99241,0.99467,0.997,0.99693,0.9953,0.99669
3890.26747,0.99806,0.99771,0.99536,0.99588,0.99757,0.99237,0.99456,0.99696,0.99693,0.99527,0.99662
3888.22747,0.99806,0.99764,0.99535,0.99577,0.99752,0.99214,0.99444,0.99691,0.99691,0.99523,0.99654
3886.18748,0.99799,0.99761,0.99524,0.99565,0.99746,0.99203,0.99431,0.99685,0.99687,0.99517,0.99645
3884.14749,0.99781,0.9976,0.99503,0.99552,0.9974,0.99204,0.99417,0.99676,0.99683,0.9951,0.99635
3882.10749,0.99775,0.9976,0.99493,0.9954,0.99734,0.99193,0.99404,0.99667,0.99679,0.99503,0.99625
3880.0675,0.99797,0.9976,0.99507,0.99529,0.99729,0.99154,0.99393,0.99659,0.99674,0.99497,0.99615
3878.02751,0.99826,0.9976,0.99526,0.9952,0.99724,0.99104,0.99384,0.9965,0.9967,0.99492,0.99607
3875.98751,0.99814,0.99759,0.99509,0.99512,0.99719,0.9909,0.99377,0.99642,0.99664,0.99486,0.99599
3873.94752,0.99766,0.99755,0.99465,0.99505,0.99715,0.9911,0.99371,0.99634,0.99658,0.99479,0.99591
3871.90753,0.99726,0.99747,0.9943,0.99498,0.9971,0.99124,0.99365,0.99626,0.99651,0.9947,0.99583
3869.86753,0.99718,0.99738,0.99423,0.99492,0.99705,0.99112,0.9936,0.99617,0.99644,0.99461,0.99576
3867.82754,0.99713,0.99732,0.99418,0.99487,0.99701,0.99096,0.99356,0.9961,0.99641,0.99453,0.9957
3865.78755,0.99693,0.99729,0.99398,0.99483,0.99697,0.99096,0.99354,0.99604,0.99637,0.99445,0.99566
3863.74755,0.99686,0.99728,0.99394,0.9948,0.99693,0.99079,0.99352,0.99598,0.99634,0.99435,0.99564
3861.70756,0.99685,0.9973,0.99401,0.99478,0.99689,0.99056,0.99351,0.99595,0.99634,0.99427,0.99563
3859.66757,0.99668,0.99732,0.99393,0.99477,0.99687,0.9906,0.99353,0.99593,0.99634,0.9942,0.99565
3857.62757,0.9966,0.99735,0.99393,0.99479,0.99685,0.99072,0.99357,0.99594,0.99633,0.99414,0.9957
3855.58758,0.99656,0.9974,0.99396,0.9948,0.99683,0.99087,0.99361,0.99595,0.99633,0.99406,0.99575
3853.54759,0.9965,0.99743,0.99393,0.99482,0.99682,0.99106,0.99363,0.99597,0.99637,0.99403,0.99581
3851.50759,0.99661,0.99744,0.99406,0.99485,0.99681,0.99107,0.99367,0.996,0.99648,0.99408,0.99589
3849.4676,0.99673,0.99745,0.99417,0.99492,0.99683,0.99106,0.99373,0.99606,0.99662,0.99419,0.99599
3847.4276,0.99689,0.99748,0.99431,0.99501,0.99687,0.99097,0.99382,0.99613,0.99675,0.99431,0.99609
3845.38761,0.99698,0.9975,0.99438,0.9951,0.9969,0.99084,0.99391,0.99622,0.99687,0.99442,0.99619
3843.34762,0.99686,0.99751,0.99423,0.99519,0.99694,0.99089,0.99398,0.9963,0.99698,0.99454,0.99627
3841.30762,0.99702,0.99754,0.99433,0.99527,0.99698,0.99073,0.99405,0.99636,0.99709,0.99467,0.99634
3839.26763,0.99722,0.99761,0.99444,0.99533,0.99701,0.99068,0.99411,0.99642,0.99719,0.99479,0.99638
3837.22764,0.99714,0.99771,0.99428,0.9954,0.99706,0.99098,0.99417,0.99648,0.99728,0.99492,0.99642
3835.18764,0.99717,0.99778,0.99423,0.99549,0.99712,0.99116,0.99424,0.99654,0.99737,0.99508,0.99645
3833.14765,0.99754,0.99781,0.99451,0.99559,0.9972,0.99089,0.99434,0.99661,0.99745,0.99525,0.99649
3831.10766,0.99793,0.99785,0.9948,0.99571,0.99729,0.9905,0.99445,0.99669,0.99752,0.99543,0.99652
3829.06766,0.99786,0.99792,0.99468,0.99583,0.99739,0.9905,0.99458,0.99676,0.99757,0.9956,0.99655
3827.02767,0.99755,0.998,0.99435,0.99594,0.99749,0.99076,0.9947,0.99682,0.99759,0.99575,0.99657
3824.98768,0.9974,0.99806,0.99418,0.99604,0.99758,0.99089,0.9948,0.99686,0.99762,0.99588,0.99658
3822.94768,0.9974,0.99811,0.99415,0.99613,0.99766,0.99088,0.99489,0.9969,0.99763,0.996,0.99658
3820.90769,0.99751,0.99816,0.99422,0.99621,0.99773,0.99076,0.99497,0.99692,0.99764,0.99609,0.99659
3818.8677,0.99755,0.99823,0.99421,0.99627,0.9978,0.9907,0.99504,0.99695,0.99764,0.99617,0.9966
3816.8277,0.99754,0.99831,0.99419,0.99633,0.99786,0.99068,0.99511,0.99698,0.99762,0.99623,0.99662
3814.78771,0.99753,0.99838,0.99421,0.9964,0.99793,0.99063,0.9952,0.99703,0.99759,0.99631,0.99667
3812.74772,0.99739,0.99842,0.9941,0.99649,0.99802,0.99067,0.99532,0.9971,0.99757,0.99642,0.99676
3810.70772,0.99725,0.99844,0.99397,0.9966,0.99811,0.99069,0.99546,0.9972,0.99752,0.99652,0.99687
3808.66773,0.99718,0.99842,0.99387,0.99671,0.9982,0.99065,0.9956,0.9973,0.99745,0.9966,0.99699
3806.62774,0.99708,0.99835,0.99376,0.99681,0.99828,0.9906,0.9957,0.99738,0.9974,0.99668,0.99711
3804.58774,0.99702,0.99825,0.9937,0.99689,0.99835,0.99042,0.99578,0.99747,0.99736,0.99679,0.99722
3802.54775,0.99693,0.99814,0.99359,0.99698,0.99842,0.99022,0.99586,0.99756,0.99732,0.9969,0.99734
3800.50776,0.99677,0.99804,0.99336,0.99707,0.9985,0.99011,0.99594,0.99767,0.99725,0.99698,0.99746
3798.46776,0.99672,0.99795,0.99321,0.99714,0.99858,0.98994,0.99601,0.99777,0.99718,0.99705,0.99757
3796.42777,0.99668,0.99789,0.9931,0.99721,0.99866,0.98981,0.99607,0.99787,0.99711,0.99711,0.99767
3794.38778,0.99659,0.99785,0.99296,0.99728,0.99874,0.98981,0.99613,0.99798,0.99703,0.99717,0.99776
3792.34778,0.9966,0.99784,0.99289,0.99735,0.99883,0.98979,0.99621,0.9981,0.99696,0.99723,0.99785
3790.30779,0.99649,0.99784,0.99269,0.99744,0.99892,0.98987,0.9963,0.99822,0.99691,0.99731,0.99794
3788.2678,0.99628,0.99779,0.9924,0.99753,0.99902,0.99001,0.99641,0.99835,0.99688,0.99741,0.99804
3786.2278,0.99626,0.99768,0.99234,0.99764,0.99911,0.98989,0.99653,0.99847,0.99685,0.99751,0.99813
3784.18781,0.99637,0.99758,0.99245,0.99772,0.99918,0.98957,0.99663,0.99856,0.99682,0.99757,0.99821
3782.14782,0.99622,0.99754,0.99233,0.99776,0.99923,0.98949,0.9967,0.99862,0.99681,0.99761,0.99824
3780.10782,0.99598,0.99752,0.99211,0.99776,0.99925,0.98956,0.99672,0.99863,0.99682,0.9976,0.99824
3778.06783,0.99611,0.9975,0.99222,0.99772,0.99924,0.98935,0.99669,0.99861,0.99685,0.99756,0.9982
3776.02783,0.99633,0.99747,0.99238,0.99763,0.99919,0.98907,0.99663,0.99854,0.99689,0.99748,0.99813
3773.98784,0.99624,0.99746,0.99227,0.99749,0.99911,0.98909,0.99651,0.99843,0.99691,0.99733,0.99803
3771.94785,0.99609,0.99748,0.99215,0.9973,0.99899,0.98922,0.99634,0.99828,0.99692,0.99712,0.99788
3769.90785,0.99616,0.99752,0.99227,0.99705,0.99884,0.98917,0.99612,0.99809,0.99692,0.99686,0.99771
3767.86786,0.99628,0.99754,0.99243,0.99677,0.99867,0.98911,0.99586,0.99786,0.99693,0.99657,0.9975
3765.82787,0.99621,0.99752,0.9924,0.99647,0.99849,0.98923,0.99557,0.99761,0.99693,0.99626,0.99728
3763.78787,0.99619,0.99747,0.99239,0.99614,0.99829,0.9893,0.99524,0.99734,0.99692,0.99592,0.99705
3761.74788,0.99639,0.99741,0.99261,0.99578,0.99806,0.98911,0.99487,0.99704,0.99686,0.99551,0.99678
3759.70789,0.99664,0.99733,0.99293,0.99537,0.99779,0.98885,0.99443,0.9967,0.99677,0.99504,0.99647
